ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
-325.66,74.6,-39.03,0.01,0.01,0.01,43.63,,229.36,,5.37,-1.23,-0.23,114.33,536.57,-60.69,-4.6,0.0,52.74,311.16,0
-1.17,-10.89,-0.36,0.39,0.53,1.14,113.43,13.46,97.99,60.08,0.89,8.34,9.34,49.5,89.3,-1.31,,0.0,15.79,167.27,0
-29.24,-125.25,-11.46,0.56,1.07,1.31,142.69,55.53,107.85,25.55,0.77,3.28,4.28,36.12,76.65,-38.15,,0.0,25.62,150.36,0
-11.02,-23.17,-35.43,0.16,0.31,0.31,1170.02,89.68,605.76,,0.52,1.1,2.1,-11.02,52.43,-11.61,0.57,0.0,0.0,0.0,0
6.2,64.68,0.98,0.01,0.62,0.95,57.2,30.64,50.66,16.37,0.9,9.42,10.42,38.74,90.41,8.47,0.69,0.0,3.64,70.3,0
-138.56,55.93,-9.56,0.18,0.23,0.29,25.1,4.13,86.0,4.97,347.75,-140.36,-0.4,170.7,347.75,-39.85,,0.0,15.37,176.19,0
0.16,0.78,0.12,0.07,0.83,0.83,272.92,55.6,72.26,,0.79,3.87,4.87,3.64,79.48,18.39,0.94,0.37,1.55,21.11,0
1.2,3.21,1.35,1.63,8.38,11.25,409.06,0.23,35.95,103.37,0.62,1.67,2.67,25.35,62.48,1.93,,0.0,27.13,78.3,0
-6.23,-9.28,-1.43,1.06,1.22,2.79,83.61,4.26,27.15,42.72,0.33,0.49,1.49,64.91,32.84,46.59,9.39,0.0,12.5,53.43,0
7.97,9.04,26.11,2.56,3.58,3.58,1192.1,142.25,139.29,,0.12,0.13,1.13,9.75,11.81,99.26,1.53,0.0,5.81,9.82,0
-2.51,-46.66,-3.52,0.05,0.22,0.82,510.81,56.54,327.0,195.48,94.63,1761.29,18.61,3.11,94.63,-0.02,0.76,0.0,5.74,55.18,0
6.35,20.66,1.6,0.05,0.94,1.27,91.77,27.65,12.03,10.29,0.69,2.25,3.26,35.78,69.14,18.58,1.15,47.92,5.26,40.04,0
20.08,21.28,20.56,17.82,17.82,17.82,372.7,,20.69,,0.06,0.06,1.06,20.08,5.61,357.82,,0.0,0.0,0.0,0
-67.13,-92.42,6340.68,2.54,2.23,3.2,-34382.58,2843.39,-9091.53,-8804.75,0.27,0.38,1.38,-67.13,27.36,-216.26,5.05,0.0,0.0,0.0,0
-3.99,-24.9,-1.8,0.07,0.31,0.33,164.36,27.06,49.42,3.02,0.84,5.25,6.25,59.18,83.99,7.72,0.38,38.8,20.45,61.86,0
15.04,67.83,17.8,0.36,0.48,0.48,430.96,38.25,331.75,,0.78,3.51,4.51,15.04,77.83,27.04,0.35,0.0,0.0,0.0,0
23.67,66.36,4.47,0.06,1.07,1.62,68.68,42.23,41.88,23.27,0.64,1.8,2.8,61.12,64.34,36.79,,0.0,7.07,54.45,0
4.96,16.61,1.62,0.1,0.96,1.42,119.11,69.82,46.36,37.61,0.7,2.35,3.35,39.38,70.12,7.34,28.62,29.71,8.48,46.05,0
1.05,2.13,0.89,0.01,0.18,0.33,308.32,26.57,127.68,22.35,0.51,1.03,2.03,4.43,50.66,4.16,0.59,8.78,2.86,57.94,0
8.07,8.45,2.7,19.55,19.55,22.34,121.68,,5.39,15.03,0.04,0.05,1.05,18.21,4.48,180.33,,0.0,3.39,45.68,0
29.97,53.48,36.86,1.71,1.73,1.73,447.6,1.45,66.07,,0.44,0.78,1.78,29.97,43.96,89.91,1.15,0.0,0.0,0.0,0
-20.98,141.51,,0.05,0.08,0.08,,,,,1.15,-7.75,-6.75,-20.98,114.82,-8.48,0.62,0.0,,0.0,0
4.08,6.1,2.19,0.12,0.28,1.1,195.86,,29.57,46.49,0.33,0.5,1.5,31.61,33.15,38.39,1.03,16.04,11.26,48.72,0
27.05,32.36,25.94,1.76,5.82,7.03,349.07,199.28,49.1,59.35,0.16,0.2,1.2,42.67,16.42,164.72,,0.0,14.98,30.27,0
31.2,-11.96,,0.34,0.8,0.67,311.53,147.91,776.87,-104.93,360.91,-138.33,-0.38,31.2,360.91,8.64,,0.37,0.0,0.0,0
-2.6,-5.93,-4.72,0.36,0.61,0.63,658.96,94.0,147.12,6.89,56.08,127.67,2.28,9.72,56.08,8.74,0.68,33.2,22.31,48.31,0
1.02,6.45,0.56,0.04,0.05,0.25,200.11,0.56,166.25,33.03,0.84,5.34,6.34,9.42,84.23,1.52,0.2,0.0,3.26,54.36,0
15.66,28.16,6.9,0.98,2.06,2.15,160.37,76.16,70.39,6.32,0.44,0.8,1.8,15.66,44.38,53.4,12.71,0.0,0.0,0.0,0
-0.13,-0.4,-0.02,-0.14,0.52,0.93,59.65,26.68,40.42,16.53,0.69,2.18,3.18,42.41,68.51,10.14,0.87,0.0,6.97,61.32,0
3.58,24.04,0.9,0.07,0.36,0.6,91.86,21.89,76.82,18.8,0.85,5.72,6.72,39.07,85.11,10.16,0.3,0.0,8.96,74.18,0
4.06,52.04,0.9,0.15,0.35,0.66,81.06,13.95,70.29,21.74,0.92,11.81,12.81,58.76,92.19,9.62,0.2,0.0,8.87,56.52,0
2.04,16.99,0.92,0.29,0.77,1.09,164.68,3.98,142.77,46.0,0.88,7.34,8.34,10.51,88.01,2.45,2.96,0.0,2.75,176.0,0
8.17,-52.8,2.11,0.0,0.63,0.77,94.11,63.99,107.16,14.78,1.15,-7.46,-6.46,29.53,115.47,8.61,-1.72,0.0,3.98,50.82,0
3.38,9.98,2.02,0.77,0.93,0.93,217.41,22.4,103.4,0.1,0.66,1.96,2.96,14.88,66.18,12.31,0.88,16.98,6.87,46.5,0
71.63,117.0,23.36,0.99,1.28,1.79,118.73,13.17,45.42,23.03,0.39,0.63,1.63,116.52,38.77,187.92,1.99,0.0,14.64,65.09,0
-3.42,193.43,,0.03,0.58,0.6,116.27,52.9,96.31,1.82,95.87,-5428.08,-56.62,71.2,95.87,3.98,0.06,0.0,17.92,265.31,0
7.87,31.92,2.71,0.98,1.11,1.28,125.57,11.83,78.99,16.09,0.75,3.06,4.06,23.16,75.35,13.49,6.82,11.62,5.27,47.42,0
2.72,-82.94,0.4,0.07,0.09,0.81,53.02,1.19,50.77,38.88,1.03,-31.47,-30.48,47.59,103.27,6.87,-0.16,5.51,4.62,56.52,0
1.06,3.68,0.87,0.2,1.25,1.25,300.53,222.9,211.74,,0.71,2.48,3.48,2.19,71.24,5.71,3.24,0.0,0.69,13.61,0
