ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT
17.1,293.04,44.23,0.25,0.31,0.31,944.39,49.7,877.11,,0.94,16.14,17.14,17.1,94.17,26.16,0.08,0.0,0.0,0.0,0
-2.66,-7.78,-1.09,0.0,1.33,1.33,150.28,127.88,90.75,0.0,0.66,1.93,2.93,15.51,65.84,-1.49,2.61,3.84,7.48,97.55,0
2.31,20.48,0.86,0.02,0.75,0.75,135.9,64.2,55.92,,0.89,7.85,8.85,7.78,88.71,14.45,0.77,46.26,2.04,24.05,0
9.01,34.91,3.85,0.51,1.6,1.6,155.99,64.91,73.99,0.0,0.74,2.87,3.87,9.01,74.18,14.87,1.29,0.0,0.0,0.0,0
-3.89,11.88,-2.64,0.04,0.33,0.86,247.53,76.34,268.78,143.64,1.33,-4.05,-3.05,-3.89,132.77,-2.18,-1.73,0.0,0.0,0.0,0
1.2,13.72,0.11,0.22,1.1,1.1,33.89,26.71,30.5,0.0,0.91,10.41,11.41,1.2,91.23,1.32,,0.0,0.0,0.0,0
52.57,55.45,24.58,8.96,18.27,18.28,170.66,59.14,6.35,0.06,0.05,0.05,1.05,97.85,5.19,1100.58,3.21,0.0,21.17,39.21,0
2.55,10.93,0.62,0.04,0.64,0.81,88.01,34.16,45.38,10.53,0.77,3.28,4.28,73.53,76.65,9.15,0.63,21.35,17.11,91.24,0
10.96,68.1,4.78,0.0,1.04,1.04,159.11,132.4,112.44,0.14,0.84,5.21,6.21,59.37,83.91,17.85,1.08,9.44,21.1,70.68,0
-1.87,3.7,-1.18,0.02,0.62,0.66,229.43,185.95,289.87,10.56,1.51,-2.98,-1.98,2.28,150.56,6.46,-4.0,18.14,2.61,12.33,0
